Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220 ohm,
2,"POT4,POT5,POT2,POT1,POT3,POT6",Pot_RightAngle_LongPin_16mm,6,10K,
3,"OutR,InG,InL,InR,OutG,OutL,9v,Gnd",TestPoint_THTPad_D2.0mm_Drill1.0mm,8,~,
4,"C15,C4,C5,C14,C17,C1",C_Rect_L7.0mm_W6.0mm_P5.00mm,6,1UF,
5,"C13,C12",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,2.2nF,
6,R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470 ohm,
7,D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
8,J7,TRRS-PJ-320A,1,EXPRESSION,
9,"R12,R8,R3,R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1K,
10,U2,TO-220-3_Vertical,1,L7805,
11,"SW1,SW2,SW3",SW_Toggle_SPDT_lugs,3,SW_SPDT,
12,"R6,R5,R16,R1,R15,R13,R14,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,1M,
13,"C8,C9,C7,C10",C_Rect_L7.0mm_W2.5mm_P5.00mm,4,100NF,
14,C6,CP_Radial_D8.0mm_P3.50mm,1,100UF,
15,"C11,C2",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,100pF,
16,LED2,PinHeader_1x02_P2.54mm_Vertical,1,LED_2,
17,C30,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,100NF,
18,"R4,R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100 ohm,
19,LED1,PinHeader_1x02_P2.54mm_Vertical,1,LED_1,
20,"C16,C3",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,1NF,
21,"R11,R10",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3K3,
22,U1,DIP-14_W7.62mm,1,MCP6024,
23,A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev7,
24,D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N5817,
25,U3,DIP-8_W7.62mm,1,MCP6002,
26,S1,DS03-254-04BE-dip4,1,DS03-254-04BE,
27,"R18,R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100K,
28,FS1,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_1,
29,J6,TRRS-PJ-320A,1,MIDI IN,
30,FS2,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_2,
31,U5,DIP-6_W7.62mm,1,H11L1,
32,R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2M,
